id,team,player,position,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
400874388,Celtics,A. Johnson,PF,22,2-3,0-0,0-0,2,6,8,1,0,2,1,4,-9,4
400874388,Celtics,J. Crowder,SF,33,5-16,2-7,2-2,1,9,10,4,0,0,2,4,+3,14
400874388,Celtics,J. Sullinger,C,19,4-14,1-1,0-0,2,4,6,3,1,0,0,6,+2,9
400874388,Celtics,A. Bradley,PG,33,7-16,1-7,3-3,2,1,3,1,1,1,1,2,+0,18
400874388,Celtics,I. Thomas,PG,37,8-21,4-10,7-9,1,2,3,8,1,1,3,4,-6,27
400874388,Celtics,J. Jerebko,PF,17,1-6,0-3,0-0,0,5,5,2,0,0,0,3,+5,2
400874388,Celtics,K. Olynyk,C,12,1-3,0-0,0-0,1,0,1,1,0,0,1,2,-6,2
400874388,Celtics,M. Smart,PG,29,5-10,3-6,2-3,3,2,5,2,2,1,1,4,+6,15
400874388,Celtics,E. Turner,SG,34,4-13,0-1,2-2,3,5,8,5,1,1,1,3,+5,10
400874388,Celtics,R.J. Hunter,SG,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,-5,0
400874388,Celtics,J. Mickey,PF,,,,,,,,,,,,,,
400874388,Celtics,T. Zeller,C,,,,,,,,,,,,,,
400874388,Celtics,T. Rozier,PG,,,,,,,,,,,,,,
400874388,Celtics,TE,AM,,37-102,11-35,16-19,15,35,50,27,6,6,10,32,,101
400874388,Celtics,, ,,36.3%,31.4%,84.2%,,,,,,,,,,
400874388,Hawks,P. Millsap,PF,37,6-11,1-2,1-1,2,5,7,3,1,3,0,2,-3,14
400874388,Hawks,K. Bazemore,SF,34,7-13,1-5,8-10,0,8,8,0,1,2,0,0,+7,23
400874388,Hawks,A. Horford,C,37,8-17,1-2,7-8,5,7,12,2,0,2,2,3,-4,24
400874388,Hawks,J. Teague,PG,36,7-15,0-2,9-11,1,3,4,12,1,0,2,4,+7,23
400874388,Hawks,K. Korver,SG,32,1-10,0-7,0-0,1,8,9,1,0,0,2,2,+4,2
400874388,Hawks,M. Scott,PF,18,6-9,2-4,0-0,3,2,5,0,0,0,1,3,+7,14
400874388,Hawks,M. Muscala,PF,4,0-0,0-0,0-0,0,1,1,1,0,0,0,1,+1,0
400874388,Hawks,T. Sefolosha,SF,22,0-3,0-1,2-4,1,6,7,2,1,1,3,2,-3,2
400874388,Hawks,D. Schroder,PG,11,0-6,0-2,0-0,0,0,0,2,0,0,1,2,-6,0
400874388,Hawks,K. Hinrich,SG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
400874388,Hawks,T. Hardaway Jr.,SG,8,0-2,0-1,0-1,0,0,0,0,0,1,0,1,-5,0
400874388,Hawks,K. Humphries,PF,,,,,,,,,,,,,,
400874388,Hawks,L. Patterson,SG,,,,,,,,,,,,,,
400874388,Hawks,TE,AM,,35-86,5-26,27-35,13,40,53,23,4,9,11,20,,102
